German,English
ist,is
ich,I
nicht,Not
Sie,you
du,of
das,the
die,the
es,it is
und,and
der,the
zu,to
sie,you
ein,a
in,in
wir,we
Du,Of
mir,me
mit,With
Was,Was
den,the
mich,me
was,was
auf,on
dass,that
er,is
eine,a
Es,It is
hat,Has
Und,And
sind,are
von,of
dich,you
war,war
haben,to have
für,For
Ja,And
hier,here
an,an
habe,have
Er,Is
bin,am
wie,how
noch,still
dir,to you
uns,us
sich,yourself
Die,The
nur,just
einen,one
Nein,No
dem,the
ihn,him
auch,also
hast,has
sein,be
ihr,you
da,gives
aus,out
kann,can
aber,but
Aber,But
schon,beautiful
wenn,if
wird,becomes
um,a
als,as
bist,are
im,in the
mal,times
doch,but
gut,Well
meine,my
jetzt,now
weiß,White
Wenn,If
werden,become
Der,The
nach,to
ja,and
Oh,Oh
oder,or
will,will
mein,my
mehr,more
keine,no
etwas,something
alles,everything
muss,got to
immer,always
nichts,Nothing
man,man
wieder,again
bei,at
hab,hab
machen,do
vor,in front
Mann,man
ihm,him
einem,one
tun,to do
können,can
sagen,say
werde,will
denn,because
Ist,is
Ein,A
Warum,Why
einer,one
gehen,walk
sehen,see
sehr,very
geht,going
alle,all
über,above
müssen,have to
diese,these
einfach,easy
euch,to you
des,of the
nie,no
Also,Also
Wo,Where
los,the
Zeit,time
gibt,gives
wirklich,really
Hey,Hey
Danke,thanks
deine,yours
würde,would
soll,should
Da,Gives
hatte,would have
Hier,Here
wissen,knowledge
bitte,You're welcome
viel,much
So,So
gesagt,told
Ihr,your
am,am
kein,no
Komm,come over
Wer,who
zurück,back
wurde,has been
In,In
wollte,wanted
Leben,Life
wäre,would
wo,Where
damit,in order to
Nicht,Not
Gott,Good
Leute,People
kannst,can
heute,today
meinen,mean
dieser,this
dein,your
kommen,come
willst,want
Na,Na
wollen,want
sicher,for sure
ganz,all
Jetzt,Now
Mein,My
Mr,Mr
also,also
zur,to
Hast,Has
Gut,Well
hätte,would have
tut,does
Hallo,Hello
Okay,Okay
macht,makes
waren,were
bis,to
Vielleicht,Maybe
könnte,could
Eine,A
Bitte,You're welcome
weg,path
seine,his
Vater,father
